날짜,한국,미국,중국,일본,독일,인도,영국,프랑스,캐나다,이탈리아,브라질,오스트레일리아,인도네시아,스위스,스웨덴,노르웨이,남아프리카 공화국,덴마크,뉴질랜드
2021-10-01,2.4,1.58,2.97,0.1,-0.2,6.36,1.08,0.2,1.6,0.96,5.32,1.71,6.16,-0.05,0.38,1.68,10.06,0.1,2.21
2021-11-01,2.36,1.56,2.83,0.05,-0.31,6.35,0.94,0.09,1.69,1.01,5.32,1.81,6.25,-0.23,0.27,1.61,10.02,0.01,2.57
2021-12-01,2.19,1.47,2.78,0.07,-0.38,6.44,0.84,0.05,1.45,1.05,5.32,1.61,6.35,-0.13,0.14,1.71,9.9,-0.08,2.38
2022-01-01,2.49,1.76,2.7,0.17,-0.11,6.64,1.21,0.31,1.76,1.35,6.08,1.89,6.41,0.05,0.36,1.91,9.83,0.11,2.56
2022-02-01,2.69,1.93,2.78,0.18,0.15,6.75,1.49,0.68,1.88,1.79,6.08,2.11,6.5,0.26,0.61,2.12,9.65,0.46,2.74
2022-03-01,2.78,2.13,2.79,0.21,0.28,6.82,1.55,0.78,2.13,1.85,6.08,2.5,6.71,0.68,0.82,2.53,10.1,0.57,3.07
2022-04-01,3.22,2.75,2.84,0.22,0.75,7.11,1.84,1.28,2.7,2.44,6.82,3.01,6.96,0.82,1.47,2.69,10.11,1.04,3.47
2022-05-01,3.3,2.9,2.74,0.24,0.95,7.39,1.91,1.52,2.92,2.99,6.82,3.38,7.06,0.78,1.77,2.64,10.32,1.3,3.64
2022-06-01,3.64,3.14,2.82,0.23,1.45,7.53,2.38,2.06,3.32,3.64,6.82,3.77,7.17,1.15,1.86,3.13,10.94,1.84,3.98
2022-07-01,3.3,2.9,2.76,0.18,1.08,7.4,2.15,1.71,3.02,3.36,7.01,3.43,7.11,0.52,1.53,2.91,11.42,1.59,3.67
2022-08-01,3.32,2.9,2.62,0.22,1.03,7.27,2.33,1.69,2.86,3.3,7.01,3.36,7.11,0.79,1.61,3.34,10.92,1.38,3.57
2022-09-01,3.9,3.52,2.76,0.24,1.8,7.28,3.5,2.41,3.15,4.14,7.01,3.75,7.34,1.16,2.08,3.42,11.25,2.2,4.07
2022-10-01,4.27,3.98,2.64,0.25,2.19,7.46,4.11,2.77,3.38,4.53,7.2,3.92,7.5,1.12,2.2,3.6,11.63,2.6,4.41
2022-11-01,3.92,3.89,2.89,0.25,2.07,7.36,3.42,2.58,3.17,4.24,7.2,3.7,6.89,1.06,2.01,3.12,11.28,2.38,4.29
2022-12-01,3.54,3.62,2.84,0.41,2.09,7.29,3.5,2.62,2.94,4.26,7.2,3.55,6.91,1.57,1.97,3.03,11.38,2.29,4.2
2023-01-01,3.41,3.53,2.9,0.49,2.19,7.39,3.51,2.69,2.94,4.24,7.37,3.6,6.69,1.26,2.08,2.97,10.97,2.43,4.14
2023-02-01,3.45,3.75,2.9,0.5,2.37,7.33,3.56,2.87,3.17,4.27,7.37,3.7,6.86,1.45,2.37,3.15,11.05,2.55,4.31
2023-03-01,3.45,3.66,2.85,0.32,2.38,7.36,3.56,2.92,2.99,4.24,7.37,3.47,6.77,1.23,2.35,3.07,11.19,2.55,4.35
2023-04-01,3.32,3.46,2.78,0.39,2.36,7.18,3.65,2.92,2.91,4.23,7.28,3.34,6.45,1.08,2.37,3.09,11.26,2.6,4.11
2023-05-01,3.4,3.57,2.69,0.43,2.34,7.01,3.96,2.94,3.05,4.31,7.28,3.5,6.36,0.85,2.32,3.23,11.94,2.54,4.23
2023-06-01,3.61,3.75,2.64,0.4,2.38,7.05,4.37,2.93,3.34,4.07,7.28,3.92,6.22,0.97,2.46,3.48,11.94,2.57,4.48
2023-07-01,3.68,3.9,2.66,0.6,2.46,7.11,4.44,3.04,3.45,4.16,7,4.04,6.33,0.98,2.52,3.64,11.72,2.7,4.65
2023-08-01,3.86,4.17,2.56,0.64,2.55,7.18,4.53,3.11,3.65,4.22,7,4.13,6.36,0.95,2.75,3.81,11.72,2.77,4.9
2023-09-01,3.95,4.38,2.68,0.77,2.66,7.17,4.42,3.24,3.82,4.51,7,4.21,6.91,1.09,2.89,3.82,12.06,2.83,5.05
2023-10-01,4.27,4.8,2.69,0.95,2.82,7.35,4.57,3.45,4.06,4.89,6.55,4.63,7.05,1.05,3.02,3.95,12.36,3.05,5.46
2023-11-01,3.89,4.5,2.67,0.66,2.6,7.27,4.27,3.19,3.71,4.43,6.55,4.58,6.6,0.82,2.75,3.68,11.79,2.79,5.1
2023-12-01,3.42,4.02,2.56,0.62,2.1,7.22,3.86,2.65,3.23,3.82,6.55,4.19,6.6,0.66,2.21,3.29,11.49,2.28,4.71
2024-01-01,3.35,4.06,2.43,0.73,2.17,7.2,3.93,2.74,3.35,3.81,6.53,4.15,6.56,0.83,2.23,3.5,11.42,2.31,4.65
2024-02-01,3.43,4.21,2.523928571,0.71,2.33,7.09,4.12,2.85,3.5,3.87,6.53,4.14,6.6,0.83,2.43,3.7,11.61,2.37,4.81
